Year,State,County,Ownership,Establishment Count,January Employment,February Employment,March Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
2025,Iowa,"Appanoose County, Iowa",Federal Government,8,41,41,43,"765,895","1,414",0.5,0.57
2025,Iowa,"Audubon County, Iowa",Federal Government,6,33,36,36,"531,313","1,168",1.02,0.89
2025,Iowa,"Benton County, Iowa",Federal Government,13,58,61,59,"965,900","1,252",0.53,0.49
2025,Iowa,"Black Hawk County, Iowa",Federal Government,21,526,529,527,"11,042,941","1,611",0.39,0.42
2025,Iowa,"Boone County, Iowa",Federal Government,9,119,112,119,"2,481,405","1,636",0.71,0.83
2025,Iowa,"Bremer County, Iowa",Federal Government,11,62,57,56,"981,866","1,295",0.31,0.3
2025,Iowa,"Buchanan County, Iowa",Federal Government,10,47,46,47,"850,378","1,402",0.36,0.39
2025,Iowa,"Buena Vista County, Iowa",Federal Government,12,87,84,83,"1,767,273","1,606",0.41,0.49
2025,Iowa,"Butler County, Iowa",Federal Government,9,40,42,41,"640,237","1,201",0.58,0.51
2025,Iowa,"Calhoun County, Iowa",Federal Government,9,30,30,29,"467,891","1,213",0.55,0.56
2025,Iowa,"Carroll County, Iowa",Federal Government,14,72,69,68,"1,298,489","1,434",0.33,0.36
2025,Iowa,"Cass County, Iowa",Federal Government,12,72,71,75,"1,357,390","1,437",0.69,0.72
2025,Iowa,"Cedar County, Iowa",Federal Government,13,84,84,84,"1,544,051","1,414",0.85,0.95
2025,Iowa,"Cerro Gordo County, Iowa",Federal Government,15,162,163,162,"3,097,910","1,468",0.36,0.37
2025,Iowa,"Cherokee County, Iowa",Federal Government,12,46,45,44,"752,692","1,287",0.47,0.48
2025,Iowa,"Chickasaw County, Iowa",Federal Government,8,48,45,45,"764,201","1,278",0.47,0.43
2025,Iowa,"Clarke County, Iowa",Federal Government,4,32,32,33,"498,578","1,186",0.36,0.33
2025,Iowa,"Clay County, Iowa",Federal Government,11,63,63,60,"1,102,324","1,368",0.37,0.38
2025,Iowa,"Clayton County, Iowa",Federal Government,15,65,69,69,"1,248,144","1,419",0.6,0.67
2025,Iowa,"Clinton County, Iowa",Federal Government,14,110,110,111,"2,051,654","1,430",0.31,0.31
2025,Iowa,"Crawford County, Iowa",Federal Government,13,56,52,54,"1,064,820","1,517",0.43,0.46
2025,Iowa,"Dallas County, Iowa",Federal Government,17,139,139,135,"3,227,195","1,803",0.13,0.1
2025,Iowa,"Davis County, Iowa",Federal Government,5,34,33,33,"545,408","1,259",0.87,0.88
2025,Iowa,"Decatur County, Iowa",Federal Government,7,24,23,24,"390,776","1,270",0.56,0.64
2025,Iowa,"Delaware County, Iowa",Federal Government,10,32,34,35,"483,600","1,105",0.27,0.21
2025,Iowa,"Des Moines County, Iowa",Federal Government,11,133,126,127,"2,584,102","1,545",0.33,0.39
2025,Iowa,"Dickinson County, Iowa",Federal Government,10,77,80,76,"1,448,011","1,434",0.43,0.52
2025,Iowa,"Dubuque County, Iowa",Federal Government,23,262,262,258,"5,332,221","1,574",0.23,0.24
2025,Iowa,"Emmet County, Iowa",Federal Government,8,34,32,29,"544,970","1,324",0.46,0.54
2025,Iowa,"Fayette County, Iowa",Federal Government,13,75,70,72,"1,315,869","1,399",0.54,0.63
2025,Iowa,"Floyd County, Iowa",Federal Government,8,40,42,46,"713,286","1,286",0.42,0.33
2025,Iowa,"Franklin County, Iowa",Federal Government,7,35,34,33,"575,037","1,301",0.45,0.45
2025,Iowa,"Fremont County, Iowa",Federal Government,10,23,23,19,"306,679","1,089",0.46,0.44
2025,Iowa,"Greene County, Iowa",Federal Government,7,30,27,25,"446,811","1,257",0.41,0.41
2025,Iowa,"Grundy County, Iowa",Federal Government,9,33,31,36,"456,183","1,053",0.48,0.32
2025,Iowa,"Guthrie County, Iowa",Federal Government,12,52,53,51,"875,072","1,294",0.84,0.8
2025,Iowa,"Hamilton County, Iowa",Federal Government,11,41,38,38,"694,731","1,370",0.35,0.38
2025,Iowa,"Hancock County, Iowa",Federal Government,10,42,40,40,"739,981","1,400",0.36,0.33
2025,Iowa,"Hardin County, Iowa",Federal Government,16,65,65,65,"986,669","1,168",0.53,0.44
2025,Iowa,"Harrison County, Iowa",Federal Government,10,67,61,61,"1,006,507","1,229",0.78,0.76
2025,Iowa,"Henry County, Iowa",Federal Government,12,65,60,57,"1,086,960","1,378",0.37,0.38
2025,Iowa,"Howard County, Iowa",Federal Government,7,31,31,34,"551,408","1,326",0.41,0.42
2025,Iowa,"Humboldt County, Iowa",Federal Government,11,36,35,37,"621,350","1,328",0.53,0.51
2025,Iowa,"Ida County, Iowa",Federal Government,8,28,26,27,"457,492","1,303",0.39,0.33
2025,Iowa,"Iowa County, Iowa",Federal Government,14,62,63,62,"980,333","1,210",0.38,0.35
2025,Iowa,"Jackson County, Iowa",Federal Government,13,66,64,61,"1,143,696","1,382",0.56,0.7
2025,Iowa,"Jasper County, Iowa",Federal Government,15,93,87,89,"1,587,322","1,362",0.45,0.49
2025,Iowa,"Jefferson County, Iowa",Federal Government,9,63,64,66,"1,255,693","1,501",0.49,0.49
2025,Iowa,"Johnson County, Iowa",Federal Government,18,"2,147","2,148","2,127","58,178,928","2,091",1.3,1.65
2025,Iowa,"Jones County, Iowa",Federal Government,10,50,46,47,"818,727","1,321",0.4,0.43
2025,Iowa,"Keokuk County, Iowa",Federal Government,12,38,38,38,"571,820","1,158",0.88,0.82
2025,Iowa,"Kossuth County, Iowa",Federal Government,16,64,66,68,"1,082,930","1,262",0.55,0.5
2025,Iowa,"Lee County, Iowa",Federal Government,14,98,99,98,"1,763,333","1,379",0.37,0.35
2025,Iowa,"Linn County, Iowa",Federal Government,40,"1,025","1,020","1,029","24,693,279","1,854",0.43,0.42
2025,Iowa,"Louisa County, Iowa",Federal Government,9,62,59,61,"1,177,316","1,493",0.85,0.92
2025,Iowa,"Lucas County, Iowa",Federal Government,7,45,49,50,"719,076","1,152",0.78,0.65
2025,Iowa,"Lyon County, Iowa",Federal Government,10,36,36,35,"555,199","1,197",0.38,0.4
2025,Iowa,"Madison County, Iowa",Federal Government,7,45,41,42,"711,968","1,284",0.53,0.53
2025,Iowa,"Mahaska County, Iowa",Federal Government,11,51,53,52,"842,973","1,247",0.34,0.26
2025,Iowa,"Marion County, Iowa",Federal Government,14,135,135,133,"2,473,306","1,416",0.36,0.29
2025,Iowa,"Marshall County, Iowa",Federal Government,17,99,99,103,"1,807,266","1,386",0.34,0.31
2025,Iowa,"Mills County, Iowa",Federal Government,7,32,34,36,"559,363","1,266",0.6,0.49
2025,Iowa,"Mitchell County, Iowa",Federal Government,6,30,35,31,"556,899","1,339",0.42,0.44
2025,Iowa,"Monona County, Iowa",Federal Government,10,39,34,34,"547,084","1,180",0.7,0.74
2025,Iowa,"Monroe County, Iowa",Federal Government,7,47,46,41,"697,800","1,202",0.61,0.42
2025,Iowa,"Montgomery County, Iowa",Federal Government,7,45,42,43,"672,441","1,194",0.55,0.5
2025,Iowa,"Muscatine County, Iowa",Federal Government,13,76,75,72,"1,232,475","1,275",0.18,0.14
2025,Iowa,"Obrien County, Iowa",Federal Government,9,45,43,42,"691,070","1,227",0.34,0.34
2025,Iowa,"Osceola County, Iowa",Federal Government,7,27,29,27,"469,821","1,306",0.53,0.54
2025,Iowa,"Page County, Iowa",Federal Government,13,75,76,74,"1,312,444","1,346",0.61,0.62
2025,Iowa,"Palo Alto County, Iowa",Federal Government,9,36,36,36,"647,914","1,384",0.51,0.59
2025,Iowa,"Plymouth County, Iowa",Federal Government,13,86,83,82,"1,803,191","1,658",0.36,0.39
2025,Iowa,"Pocahontas County, Iowa",Federal Government,11,33,37,34,"511,312","1,135",0.7,0.56
2025,Iowa,"Polk County, Iowa",Federal Government,106,"6,639","6,710","6,712","167,619,743","1,928",1.11,1.04
2025,Iowa,"Pottawattamie County, Iowa",Federal Government,19,205,199,205,"4,157,803","1,576",0.26,0.27
2025,Iowa,"Poweshiek County, Iowa",Federal Government,8,57,55,56,"862,398","1,185",0.31,0.24
2025,Iowa,"Ringgold County, Iowa",Federal Government,8,29,26,23,"346,841","1,026",0.88,0.84
2025,Iowa,"Sac County, Iowa",Federal Government,11,42,43,43,"664,633","1,198",0.77,0.67
2025,Iowa,"Scott County, Iowa",Federal Government,31,887,899,896,"20,715,512","1,782",0.52,0.59
2025,Iowa,"Shelby County, Iowa",Federal Government,10,37,35,35,"599,498","1,293",0.33,0.31
2025,Iowa,"Sioux County, Iowa",Federal Government,14,95,95,98,"1,817,995","1,457",0.22,0.23
2025,Iowa,"Story County, Iowa",Federal Government,24,940,931,924,"20,814,386","1,719",1.02,1.05
2025,Iowa,"Tama County, Iowa",Federal Government,12,64,67,68,"1,043,677","1,210",0.66,0.62
2025,Iowa,"Taylor County, Iowa",Federal Government,9,33,35,37,"527,804","1,160",0.94,0.8
2025,Iowa,"Union County, Iowa",Federal Government,6,56,53,50,"920,959","1,337",0.45,0.49
2025,Iowa,"Van Buren County, Iowa",Federal Government,10,29,29,28,"523,947","1,406",0.76,0.92
2025,Iowa,"Wapello County, Iowa",Federal Government,9,108,104,107,"2,118,492","1,533",0.37,0.41
2025,Iowa,"Warren County, Iowa",Federal Government,16,98,90,95,"1,787,808","1,458",0.38,0.42
2025,Iowa,"Washington County, Iowa",Federal Government,9,58,53,56,"928,462","1,283",0.33,0.3
2025,Iowa,"Wayne County, Iowa",Federal Government,7,27,28,30,"406,459","1,104",0.76,0.6
2025,Iowa,"Webster County, Iowa",Federal Government,20,167,163,163,"3,455,523","1,618",0.49,0.55
2025,Iowa,"Winnebago County, Iowa",Federal Government,9,37,38,39,"591,861","1,198",0.54,0.51
2025,Iowa,"Winneshiek County, Iowa",Federal Government,9,74,72,73,"1,294,227","1,364",0.37,0.39
2025,Iowa,"Woodbury County, Iowa",Federal Government,33,496,507,511,"11,983,534","1,827",0.52,0.66
2025,Iowa,"Worth County, Iowa",Federal Government,9,25,23,27,"380,810","1,172",0.62,0.56
2025,Iowa,"Wright County, Iowa",Federal Government,9,65,61,60,"1,174,454","1,457",0.49,0.48
2025,Iowa,"Unknown Or Undefined, Iowa",Federal Government,19,27,28,28,"897,195","2,495",0.2,0.18
2025,Kansas,"Allen County, Kansas",Federal Government,10,48,46,44,"747,047","1,249",0.4,0.44
2025,Kansas,"Anderson County, Kansas",Federal Government,8,31,27,27,"478,222","1,298",0.59,0.67
2025,Kansas,"Atchison County, Kansas",Federal Government,9,56,51,54,"1,082,832","1,552",0.51,0.58
2025,Kansas,"Barber County, Kansas",Federal Government,9,23,23,26,"350,175","1,122",0.88,0.78
2025,Kansas,"Barton County, Kansas",Federal Government,11,71,67,67,"1,132,877","1,275",0.31,0.31
2025,Kansas,"Bourbon County, Kansas",Federal Government,9,60,59,60,"1,170,984","1,510",0.56,0.76
2025,Kansas,"Brown County, Kansas",Federal Government,11,63,59,63,"968,004","1,207",0.75,0.67
2025,Kansas,"Butler County, Kansas",Federal Government,18,127,118,121,"1,952,648","1,231",0.31,0.31
2025,Kansas,"Chase County, Kansas",Federal Government,5,11,10,11,"157,565","1,136",0.77,0.75
2025,Kansas,"Chautauqua County, Kansas",Federal Government,5,15,17,17,"216,051","1,018",1.19,1.19
2025,Kansas,"Cherokee County, Kansas",Federal Government,11,55,51,52,"808,921","1,181",0.47,0.36
2025,Kansas,"Cheyenne County, Kansas",Federal Government,5,17,17,14,"212,013","1,019",0.87,0.96
2025,Kansas,"Clark County, Kansas",Federal Government,4,12,7,12,"135,035","1,005",0.73,0.54
2025,Kansas,"Clay County, Kansas",Federal Government,8,36,33,32,"574,156","1,312",0.58,0.81
2025,Kansas,"Cloud County, Kansas",Federal Government,8,33,32,31,"483,551","1,162",0.51,0.57
2025,Kansas,"Coffey County, Kansas",Federal Government,12,59,56,55,"971,336","1,319",0.85,0.65
2025,Kansas,"Comanche County, Kansas",Federal Government,4,6,5,5,"69,365","1,000",0.38,0.42
2025,Kansas,"Cowley County, Kansas",Federal Government,14,111,104,104,"1,741,605","1,260",0.4,0.4
2025,Kansas,"Crawford County, Kansas",Federal Government,14,83,80,79,"1,387,481","1,323",0.24,0.27
2025,Kansas,"Decatur County, Kansas",Federal Government,6,18,15,15,"231,502","1,113",0.94,1.1
2025,Kansas,"Dickinson County, Kansas",Federal Government,13,111,103,101,"2,027,976","1,486",0.84,1.12
2025,Kansas,"Doniphan County, Kansas",Federal Government,10,28,22,25,"361,274","1,112",0.45,0.4
2025,Kansas,"Douglas County, Kansas",Federal Government,17,510,472,501,"9,778,748","1,522",0.51,0.55
2025,Kansas,"Edwards County, Kansas",Federal Government,6,16,15,18,"208,406",982,0.98,0.71
2025,Kansas,"Elk County, Kansas",Federal Government,6,7,7,6,"116,487","1,344",0.49,0.82
2025,Kansas,"Ellis County, Kansas",Federal Government,12,143,135,139,"3,074,046","1,701",0.47,0.65
2025,Kansas,"Ellsworth County, Kansas",Federal Government,8,29,24,27,"432,375","1,247",0.6,0.54
2025,Kansas,"Finney County, Kansas",Federal Government,9,88,94,93,"1,955,691","1,641",0.23,0.29
2025,Kansas,"Ford County, Kansas",Federal Government,14,161,163,158,"3,454,364","1,654",0.45,0.57
2025,Kansas,"Franklin County, Kansas",Federal Government,13,66,67,71,"1,211,343","1,370",0.37,0.36
2025,Kansas,"Geary County, Kansas",Federal Government,20,"2,626","2,594","2,603","47,361,144","1,397",10.63,11.48
2025,Kansas,"Gove County, Kansas",Federal Government,6,13,14,10,"175,536","1,095",0.45,0.52
2025,Kansas,"Graham County, Kansas",Federal Government,6,21,19,20,"375,008","1,442",1.31,1.57
2025,Kansas,"Grant County, Kansas",Federal Government,4,11,11,11,"209,032","1,462",0.21,0.24
2025,Kansas,"Gray County, Kansas",Federal Government,8,20,17,20,"294,012","1,190",0.34,0.29
2025,Kansas,"Greeley County, Kansas",Federal Government,3,6,6,10,"117,639","1,234",0.82,0.69
2025,Kansas,"Greenwood County, Kansas",Federal Government,12,39,36,36,"428,760",891,1.22,1.15
2025,Kansas,"Hamilton County, Kansas",Federal Government,5,11,10,9,"155,656","1,197",0.31,0.33
2025,Kansas,"Harper County, Kansas",Federal Government,8,26,26,26,"381,621","1,129",0.54,0.5
2025,Kansas,"Harvey County, Kansas",Federal Government,10,67,64,63,"1,074,056","1,278",0.23,0.26
2025,Kansas,"Haskell County, Kansas",Federal Government,5,10,10,11,"217,752","1,621",0.32,0.39
2025,Kansas,"Hodgeman County, Kansas",Federal Government,5,14,12,15,"191,188","1,076",1.3,1.16
2025,Kansas,"Jackson County, Kansas",Federal Government,13,50,48,49,"786,295","1,234",0.57,0.61
2025,Kansas,"Jefferson County, Kansas",Federal Government,12,68,64,64,"999,630","1,177",0.84,0.67
2025,Kansas,"Jewell County, Kansas",Federal Government,10,27,25,24,"272,524",828,1.77,1.67
2025,Kansas,"Johnson County, Kansas",Federal Government,50,"3,203","3,216","3,217","92,733,435","2,221",0.45,0.48
2025,Kansas,"Kearny County, Kansas",Federal Government,4,12,9,11,"132,733",957,0.36,0.26
2025,Kansas,"Kingman County, Kansas",Federal Government,10,40,38,38,"553,579","1,101",0.73,0.68
2025,Kansas,"Kiowa County, Kansas",Federal Government,5,7,7,11,"114,762","1,059",0.51,0.44
2025,Kansas,"Labette County, Kansas",Federal Government,13,80,85,85,"1,594,274","1,472",0.51,0.6
2025,Kansas,"Lane County, Kansas",Federal Government,4,11,6,5,"117,305","1,230",0.43,0.66
2025,Kansas,"Leavenworth County, Kansas",Federal Government,37,"4,209","4,181","4,192","98,244,061","1,802",9.99,11.96
2025,Kansas,"Lincoln County, Kansas",Federal Government,8,29,27,31,"373,065",990,1.81,1.57
2025,Kansas,"Linn County, Kansas",Federal Government,9,36,32,38,"561,703","1,223",0.92,0.81
2025,Kansas,"Logan County, Kansas",Federal Government,6,17,16,13,"299,595","1,503",0.53,0.9
2025,Kansas,"Lyon County, Kansas",Federal Government,14,96,92,93,"1,754,433","1,441",0.33,0.37
2025,Kansas,"McPherson County, Kansas",Federal Government,13,81,80,78,"1,505,073","1,453",0.24,0.22
2025,Kansas,"Marion County, Kansas",Federal Government,13,55,55,53,"870,963","1,233",0.75,0.93
2025,Kansas,"Marshall County, Kansas",Federal Government,14,48,47,46,"678,899","1,111",0.56,0.51
2025,Kansas,"Meade County, Kansas",Federal Government,6,12,16,12,"209,325","1,208",0.39,0.38
2025,Kansas,"Miami County, Kansas",Federal Government,12,76,73,77,"1,645,513","1,680",0.44,0.54
2025,Kansas,"Mitchell County, Kansas",Federal Government,8,32,31,31,"455,230","1,118",0.53,0.5
2025,Kansas,"Montgomery County, Kansas",Federal Government,16,102,97,99,"1,683,317","1,304",0.36,0.37
2025,Kansas,"Morris County, Kansas",Federal Government,9,35,28,32,"477,327","1,159",1.06,1.18
2025,Kansas,"Morton County, Kansas",Federal Government,6,14,14,18,"236,340","1,186",1.28,1.11
2025,Kansas,"Nemaha County, Kansas",Federal Government,11,47,48,49,"693,229","1,111",0.45,0.38
2025,Kansas,"Neosho County, Kansas",Federal Government,10,49,52,48,"835,242","1,294",0.39,0.43
2025,Kansas,"Ness County, Kansas",Federal Government,9,25,25,25,"364,022","1,120",1.2,1.12
2025,Kansas,"Norton County, Kansas",Federal Government,5,16,16,18,"228,799","1,056",0.41,0.32
2025,Kansas,"Osage County, Kansas",Federal Government,11,65,61,60,"1,086,760","1,348",1.08,1.56
2025,Kansas,"Osborne County, Kansas",Federal Government,8,23,21,21,"335,130","1,190",0.88,1.07
2025,Kansas,"Ottawa County, Kansas",Federal Government,6,16,14,15,"262,722","1,347",0.62,0.85
2025,Kansas,"Pawnee County, Kansas",Federal Government,8,34,30,32,"427,966","1,029",0.65,0.49
2025,Kansas,"Phillips County, Kansas",Federal Government,9,35,37,37,"513,143","1,086",0.87,0.77
2025,Kansas,"Pottawatomie County, Kansas",Federal Government,11,52,49,53,"951,791","1,426",0.27,0.29
2025,Kansas,"Pratt County, Kansas",Federal Government,6,31,28,29,"497,712","1,305",0.33,0.35
2025,Kansas,"Rawlins County, Kansas",Federal Government,5,13,15,16,"198,820","1,043",0.85,0.74
2025,Kansas,"Reno County, Kansas",Federal Government,19,162,159,159,"3,289,057","1,581",0.31,0.37
2025,Kansas,"Republic County, Kansas",Federal Government,10,31,29,31,"442,574","1,122",0.86,0.89
2025,Kansas,"Rice County, Kansas",Federal Government,12,45,40,39,"585,180","1,089",0.52,0.51
2025,Kansas,"Riley County, Kansas",Federal Government,20,901,875,874,"20,141,891","1,754",1.48,1.94
2025,Kansas,"Rooks County, Kansas",Federal Government,8,29,30,33,"444,942","1,116",0.96,0.87
2025,Kansas,"Rush County, Kansas",Federal Government,8,25,24,23,"367,082","1,177",1.16,1.29
2025,Kansas,"Russell County, Kansas",Federal Government,10,24,26,30,"404,937","1,168",0.64,0.58
2025,Kansas,"Saline County, Kansas",Federal Government,14,253,245,246,"5,574,656","1,729",0.42,0.57
2025,Kansas,"Scott County, Kansas",Federal Government,4,22,18,16,"243,382","1,003",0.4,0.35
2025,Kansas,"Sedgwick County, Kansas",Federal Government,74,"4,982","4,919","4,917","115,633,981","1,801",0.96,1.07
2025,Kansas,"Seward County, Kansas",Federal Government,7,61,64,66,"1,260,813","1,523",0.31,0.34
2025,Kansas,"Shawnee County, Kansas",Federal Government,43,"2,988","2,974","2,962","74,008,728","1,914",1.51,1.77
2025,Kansas,"Sheridan County, Kansas",Federal Government,5,11,13,10,"173,041","1,174",0.51,0.56
2025,Kansas,"Sherman County, Kansas",Federal Government,7,39,39,41,"892,888","1,732",0.92,1.39
2025,Kansas,"Smith County, Kansas",Federal Government,8,30,26,29,"430,912","1,170",1.12,1.17
2025,Kansas,"Stafford County, Kansas",Federal Government,5,35,36,34,"592,161","1,301",1.5,1.79
2025,Kansas,"Stanton County, Kansas",Federal Government,5,10,9,10,"96,096",765,0.78,0.51
2025,Kansas,"Stevens County, Kansas",Federal Government,6,22,21,20,"338,486","1,240",0.49,0.46
2025,Kansas,"Sumner County, Kansas",Federal Government,16,72,69,70,"1,107,641","1,211",0.56,0.61
2025,Kansas,"Thomas County, Kansas",Federal Government,5,21,21,22,"408,708","1,474",0.28,0.33
2025,Kansas,"Trego County, Kansas",Federal Government,5,18,15,13,"181,286",909,0.66,0.64
2025,Kansas,"Wabaunsee County, Kansas",Federal Government,8,18,15,18,"231,443","1,047",0.66,0.63
2025,Kansas,"Wallace County, Kansas",Federal Government,4,7,7,11,"92,572",855,1.14,0.86
2025,Kansas,"Washington County, Kansas",Federal Government,14,39,34,34,"463,393",999,0.88,0.91
2025,Kansas,"Wichita County, Kansas",Federal Government,5,17,16,16,"256,937","1,210",1.04,1.03
2025,Kansas,"Wilson County, Kansas",Federal Government,7,40,36,38,"447,226",905,0.67,0.51
2025,Kansas,"Woodson County, Kansas",Federal Government,3,12,11,11,"170,939","1,160",0.82,1
2025,Kansas,"Wyandotte County, Kansas",Federal Government,27,"1,307","1,299","1,297","33,426,456","1,976",0.71,0.81
2025,Kansas,"Unknown Or Undefined, Kansas",Federal Government,73,"2,052","2,037","2,015","53,994,898","2,041",4.94,3.96
2025,Kentucky,"Adair County, Kentucky",Federal Government,7,52,51,47,"815,104","1,254",0.47,0.61
2025,Kentucky,"Allen County, Kentucky",Federal Government,3,45,47,51,"764,701","1,234",0.52,0.5
2025,Kentucky,"Anderson County, Kentucky",Federal Government,3,41,42,42,"757,847","1,399",0.43,0.48
2025,Kentucky,"Ballard County, Kentucky",Federal Government,6,22,25,22,"356,206","1,191",0.58,0.44
2025,Kentucky,"Barren County, Kentucky",Federal Government,9,96,96,96,"1,781,600","1,428",0.32,0.35
2025,Kentucky,"Bath County, Kentucky",Federal Government,6,31,30,28,"485,133","1,258",0.73,0.88
2025,Kentucky,"Bell County, Kentucky",Federal Government,11,99,98,97,"1,814,405","1,424",0.6,0.8
2025,Kentucky,"Boone County, Kentucky",Federal Government,22,"1,329","1,330","1,380","31,475,486","1,798",0.69,0.8
2025,Kentucky,"Bourbon County, Kentucky",Federal Government,4,37,31,34,"606,453","1,372",0.25,0.25
2025,Kentucky,"Boyd County, Kentucky",Federal Government,8,414,420,411,"9,832,036","1,822",0.81,1.03
2025,Kentucky,"Boyle County, Kentucky",Federal Government,5,69,66,63,"1,187,139","1,384",0.23,0.24
2025,Kentucky,"Bracken County, Kentucky",Federal Government,3,16,16,17,"254,889","1,200",0.56,0.55
2025,Kentucky,"Breathitt County, Kentucky",Federal Government,6,52,42,42,"1,060,661","1,800",0.82,1.35
2025,Kentucky,"Breckinridge County, Kentucky",Federal Government,12,61,59,60,"954,179","1,223",0.81,0.87
2025,Kentucky,"Bullitt County, Kentucky",Federal Government,6,67,65,65,"1,331,383","1,560",0.11,0.13
2025,Kentucky,"Butler County, Kentucky",Federal Government,8,32,31,30,"493,210","1,224",0.53,0.56
2025,Kentucky,"Caldwell County, Kentucky",Federal Government,5,32,31,31,"549,477","1,349",0.34,0.42
2025,Kentucky,"Calloway County, Kentucky",Federal Government,8,84,82,81,"1,398,920","1,307",0.27,0.3
2025,Kentucky,"Campbell County, Kentucky",Federal Government,15,375,379,357,"9,175,568","1,906",0.57,0.79
2025,Kentucky,"Carlisle County, Kentucky",Federal Government,4,11,10,10,"171,151","1,274",0.48,0.55
2025,Kentucky,"Carroll County, Kentucky",Federal Government,6,37,32,32,"828,942","1,894",0.21,0.23
2025,Kentucky,"Carter County, Kentucky",Federal Government,8,71,66,66,"1,083,861","1,232",0.61,0.72
2025,Kentucky,"Casey County, Kentucky",Federal Government,5,31,33,27,"478,211","1,213",0.35,0.42
2025,Kentucky,"Christian County, Kentucky",Federal Government,38,"3,084","3,102","3,090","58,402,301","1,453",5.08,5.13
2025,Kentucky,"Clark County, Kentucky",Federal Government,4,109,104,109,"2,349,697","1,684",0.42,0.48
2025,Kentucky,"Clay County, Kentucky",Federal Government,9,355,355,347,"8,144,642","1,778",4.38,6.58
2025,Kentucky,"Clinton County, Kentucky",Federal Government,3,38,33,37,"676,862","1,446",0.53,0.73
2025,Kentucky,"Crittenden County, Kentucky",Federal Government,2,18,18,18,"280,920","1,201",0.48,0.56
2025,Kentucky,"Cumberland County, Kentucky",Federal Government,2,9,9,9,"149,137","1,275",0.19,0.2
2025,Kentucky,"Daviess County, Kentucky",Federal Government,17,274,265,267,"5,110,101","1,463",0.29,0.31
2025,Kentucky,"Edmonson County, Kentucky",Federal Government,8,169,176,187,"2,801,854","1,215",5.78,6.3
2025,Kentucky,"Elliott County, Kentucky",Federal Government,1,7,6,5,"83,745","1,074",0.29,0.32
2025,Kentucky,"Estill County, Kentucky",Federal Government,1,19,16,16,"295,308","1,336",0.37,0.46
2025,Kentucky,"Fayette County, Kentucky",Federal Government,43,"4,372","4,350","4,318","119,149,130","2,109",1.09,1.35
2025,Kentucky,"Fleming County, Kentucky",Federal Government,7,54,53,49,"863,301","1,277",0.77,0.91
2025,Kentucky,"Floyd County, Kentucky",Federal Government,26,124,128,129,"3,000,405","1,817",0.6,0.91
2025,Kentucky,"Franklin County, Kentucky",Federal Government,15,491,485,492,"11,118,866","1,748",0.73,0.82
2025,Kentucky,"Fulton County, Kentucky",Federal Government,2,27,25,24,"417,099","1,266",0.55,0.68
2025,Kentucky,"Gallatin County, Kentucky",Federal Government,5,34,32,32,"606,625","1,428",0.65,0.5
2025,Kentucky,"Garrard County, Kentucky",Federal Government,1,25,24,24,"387,942","1,226",0.46,0.49
2025,Kentucky,"Grant County, Kentucky",Federal Government,5,51,48,47,"816,564","1,291",0.45,0.51
2025,Kentucky,"Graves County, Kentucky",Federal Government,18,208,206,201,"4,574,220","1,716",0.86,1.21
2025,Kentucky,"Grayson County, Kentucky",Federal Government,8,90,86,89,"1,859,040","1,619",0.62,0.82
2025,Kentucky,"Green County, Kentucky",Federal Government,2,23,24,24,"325,456","1,058",0.65,0.66
2025,Kentucky,"Greenup County, Kentucky",Federal Government,8,57,55,56,"931,555","1,280",0.41,0.43
2025,Kentucky,"Hancock County, Kentucky",Federal Government,3,23,16,15,"291,576","1,246",0.21,0.14
2025,Kentucky,"Hardin County, Kentucky",Federal Government,46,"4,944","4,961","4,944","100,819,756","1,567",5.21,5.86
2025,Kentucky,"Harlan County, Kentucky",Federal Government,20,59,60,60,"1,183,446","1,526",0.49,0.69
2025,Kentucky,"Harrison County, Kentucky",Federal Government,5,37,25,37,"706,453","1,647",0.36,0.4
2025,Kentucky,"Hart County, Kentucky",Federal Government,7,45,46,41,"678,844","1,187",0.38,0.38
2025,Kentucky,"Henderson County, Kentucky",Federal Government,9,85,85,84,"1,669,641","1,517",0.23,0.24
2025,Kentucky,"Henry County, Kentucky",Federal Government,11,124,117,112,"2,100,336","1,373",1.89,2.16
2025,Kentucky,"Hickman County, Kentucky",Federal Government,4,21,15,17,"281,321","1,225",0.91,1.17
2025,Kentucky,"Hopkins County, Kentucky",Federal Government,14,154,150,143,"3,263,532","1,685",0.42,0.52
2025,Kentucky,"Jackson County, Kentucky",Federal Government,5,27,27,27,"392,146","1,117",0.76,0.85
2025,Kentucky,"Jefferson County, Kentucky",Federal Government,71,"7,314","7,321","7,244","185,504,517","1,957",0.78,0.79
2025,Kentucky,"Jessamine County, Kentucky",Federal Government,8,83,79,82,"1,544,070","1,460",0.22,0.23
2025,Kentucky,"Johnson County, Kentucky",Federal Government,12,38,39,39,"642,461","1,278",0.38,0.43
2025,Kentucky,"Kenton County, Kentucky",Federal Government,24,"2,876","2,908","2,989","59,659,279","1,569",2.06,1.7
2025,Kentucky,"Knott County, Kentucky",Federal Government,12,32,30,31,"471,823","1,171",0.71,0.81
2025,Kentucky,"Knox County, Kentucky",Federal Government,15,134,129,139,"2,870,824","1,648",0.95,1.38
